month,hour,year,aboard,fatalities
1,19,1993,23,4
1,8,1993,2,2
2,14,1993,133,133
3,11,1993,97,83
3,22,1993,4,4
3,20,1993,10,3
3,13,1993,6,6
3,12,1993,5,0
4,21,1993,4,4
4,16,1993,4,3
4,1,1993,264,2
4,15,1993,8,8
4,13,1993,118,56
4,23,1993,30,30
4,23,1993,2,2
5,15,1993,132,132
6,21,1993,40,40
7,14,1993,2,1
7,15,1993,113,55
7,15,1993,110,68
7,13,1993,19,19
8,15,1993,4,4
8,16,1993,3,0
8,10,1993,86,82
9,15,1993,70,2
9,18,1993,132,106
10,13,1993,80,2
10,19,1993,20,7
11,8,1993,5,5
11,18,1993,7,7
11,14,1993,102,12
11,19,1993,17,17
11,23,1993,116,116
12,19,1993,18,18
12,9,1993,18,18
12,14,1993,29,29
12,17,1993,5,5
1,12,1994,124,124
1,18,1994,10,10
1,23,1994,8,5
2,11,1994,13,13
2,19,1994,2,1
3,17,1994,116,0
3,14,1994,4,4
3,22,1994,32,32
3,1,1994,2,2
3,11,1994,2,2
3,0,1994,75,75
3,14,1994,7,0
4,16,1994,5,5
4,14,1994,24,3
4,9,1994,26,26
4,20,1994,271,264
4,22,1994,9,8
4,14,1994,9,8
5,10,1994,11,4
5,7,1994,29,7
6,18,1994,29,29
6,8,1994,160,160
6,18,1994,9,9
6,6,1994,12,12
6,12,1994,12,12
6,20,1994,10,9
6,19,1994,17,17
6,17,1994,7,7
7,8,1994,93,80
7,18,1994,57,37
7,12,1994,3,3
7,15,1994,7,3
7,21,1994,6,6
8,8,1994,47,47
8,13,1994,7,6
8,11,1994,160,0
8,17,1994,3,3
8,21,1994,3,3
8,9,1994,4,3
9,19,1994,132,132
9,12,1994,5,3
9,11,1994,4,3
9,8,1994,39,5
9,19,1994,12,6
9,17,1994,28,28
9,11,1994,20,8
10,15,1994,10,10
10,22,1994,66,66
10,22,1994,21,21
10,21,1994,23,23
10,15,1994,68,68
11,2,1994,1,1
11,11,1994,7,7
11,22,1994,142,2
12,11,1994,293,1
12,19,1994,5,5
12,18,1994,20,15
12,6,1994,2,2
12,10,1994,9,7
12,13,1994,28,28
12,9,1994,5,5
12,17,1994,239,3
12,15,1994,76,57
1,20,1995,12,12
1,19,1995,52,51
1,18,1995,1,1
1,1,1995,5,5
1,17,1995,1,1
1,4,1995,4,3
1,19,1995,4,2
1,13,1995,24,2
1,19,1995,19,3
1,19,1995,4,4
2,15,1995,10,8
2,20,1995,3,3
3,8,1995,1,1
3,12,1995,6,6
3,9,1995,60,60
4,18,1995,8,8
4,12,1995,9,1
4,19,1995,3,3
5,13,1995,8,8
5,0,1995,7,7
5,16,1995,9,9
5,16,1995,12,12
5,15,1995,11,2
6,19,1995,62,0
6,9,1995,21,5
6,14,1995,14,13
6,16,1995,80,16
6,9,1995,2,2
6,20,1995,4,4
7,14,1995,6,6
7,8,1995,15,15
8,20,1995,65,65
8,12,1995,29,10
9,12,1995,1,1
9,8,1995,8,8
9,7,1995,22,21
9,7,1995,81,81
9,20,1995,9,5
9,12,1995,53,34
9,6,1995,3,2
9,12,1995,43,42
9,7,1995,24,24
9,19,1995,10,8
10,8,1995,14,1
10,7,1995,3,3
10,20,1995,11,9
11,21,1995,53,53
11,8,1995,137,9
11,19,1995,63,63
11,10,1995,10,10
11,19,1995,6,2
12,22,1995,78,72
12,17,1995,82,54
12,5,1995,98,98
12,18,1995,20,20
12,19,1995,49,49
12,21,1995,164,160
1,12,1996,6,2
1,20,1996,14,14
1,12,1996,39,39
1,16,1996,6,5
2,14,1996,4,4
2,9,1996,4,4
2,23,1996,189,189
2,20,1996,8,8
2,12,1996,15,11
2,19,1996,91,91
2,5,1996,8,8
2,20,1996,123,123
3,12,1996,5,5
4,14,1996,35,35
4,14,1996,20,20
4,8,1996,3,3
5,22,1996,53,53
5,14,1996,110,110
5,13,1996,10,1
5,23,1996,3,3
6,14,1996,7,7
6,19,1996,28,18
6,12,1996,275,3
6,17,1996,12,2
7,15,1996,142,2
7,16,1996,20,20
7,9,1996,9,9
7,18,1996,41,34
7,20,1996,230,230
7,16,1996,18,1
7,15,1996,4,4
8,13,1996,2,2
8,23,1996,9,9
8,19,1996,3,3
8,3,1996,12,12
8,10,1996,141,141
9,17,1996,5,3
9,16,1996,32,32
10,1,1996,70,70
10,10,1996,23,2
10,14,1996,3,3
10,12,1996,8,8
10,22,1996,4,4
10,20,1996,34,5
10,8,1996,95,95
11,8,1996,16,16
11,17,1996,143,143
11,9,1996,8,8
11,18,1996,349,349
11,17,1996,14,14
11,19,1996,11,10
11,15,1996,175,127
11,11,1996,1,1
11,11,1996,23,23
11,10,1996,15,14
12,15,1996,17,16
12,18,1996,2,2
12,22,1996,4,4
12,18,1996,6,6
12,15,1996,22,22
12,10,1996,2,2
1,18,1997,2,2
1,11,1997,5,3
1,15,1997,29,29
1,23,1997,2,1
2,14,1997,52,25
2,17,1997,37,37
2,19,1997,73,73
2,12,1997,52,1
2,3,1997,5,5
3,18,1997,88,88
3,10,1997,50,50
4,0,1997,2,2
4,20,1997,5,5
4,7,1997,53,15
4,18,1997,36,36
5,21,1997,74,35
6,7,1997,27,27
7,3,1997,2,2
7,9,1997,60,1
7,21,1997,44,44
7,17,1997,6,4
7,11,1997,50,30
7,10,1997,4,2
7,13,1997,2,2
7,10,1997,17,1
8,1,1997,254,229
8,12,1997,4,4
8,8,1997,16,16
8,13,1997,2,2
8,16,1997,5,5
8,19,1997,2,2
9,14,1997,66,65
9,19,1997,10,10
9,17,1997,33,33
9,13,1997,234,234
10,7,1997,9,9
10,3,1997,9,8
10,22,1997,74,74
10,17,1997,1,1
11,8,1997,8,8
12,14,1997,23,23
12,15,1997,17,4
12,17,1997,19,10
12,18,1997,86,85
12,13,1997,3,3
12,21,1997,70,70
12,16,1997,104,104
12,23,1997,393,1
12,7,1997,10,10
1,17,1998,1,1
1,22,1998,51,51
1,18,1998,2,2
1,11,1998,45,16
2,11,1998,104,104
2,15,1998,2,0
2,22,1998,7,7
2,12,1998,5,5
2,8,1998,57,27
2,20,1998,196,196
3,5,1998,1,1
3,8,1998,1,1
3,16,1998,6,6
3,19,1998,13,13
3,14,1998,45,45
3,19,1998,127,0
3,9,1998,55,22
4,16,1998,53,53
5,21,1998,88,75
5,19,1998,42,39
5,10,1998,26,26
5,0,1998,5,5
5,9,1998,28,28
6,7,1998,11,11
6,9,1998,6,6
7,23,1998,8,8
7,21,1998,3,3
7,4,1998,10,10
7,16,1998,24,5
7,11,1998,6,6
7,15,1998,15,15
8,17,1998,5,5
8,16,1998,10,5
8,11,1998,18,18
8,17,1998,11,11
8,8,1998,44,44
8,16,1998,2,1
8,13,1998,91,70
9,21,1998,229,229
9,10,1998,5,5
9,11,1998,3,3
9,9,1998,38,38
9,13,1998,22,1
9,13,1998,55,55
10,9,1998,27,1
10,13,1998,37,0
10,8,1998,3,3
11,13,1998,18,11
11,5,1998,13,13
11,17,1998,1,1
11,0,1998,2,2
12,12,1998,1,1
12,11,1998,10,7
12,19,1998,146,102
12,0,1998,5,5
12,12,1998,14,14
1,17,1999,2,2
1,6,1999,2,2
1,14,1999,4,3
1,16,1999,12,4
1,8,1999,28,28
2,5,1999,14,14
2,10,1999,11,11
2,10,1999,1,1
2,16,1999,61,61
2,12,1999,31,4
3,8,1999,19,19
3,16,1999,8,8
3,9,1999,2,1
4,0,1999,6,6
4,11,1999,5,5
4,11,1999,5,5
4,16,1999,3,3
5,19,1999,12,7
5,13,1999,5,5
5,14,1999,2,2
6,23,1999,145,11
6,10,1999,7,7
6,8,1999,17,17
6,13,1999,2,1
6,2,1999,2,2
7,14,1999,8,8
7,12,1999,18,5
7,19,1999,5,5
7,4,1999,4,4
7,21,1999,3,3
7,11,1999,16,16
7,11,1999,517,1
7,3,1999,7,7
7,5,1999,17,17
7,8,1999,10,10
8,12,1999,18,18
8,23,1999,4,1
8,18,1999,315,3
8,12,1999,96,1
8,10,1999,33,2
8,20,1999,103,64
9,10,1999,12,12
9,12,1999,11,8
9,10,1999,15,15
9,11,1999,5,3
9,21,1999,2,2
9,17,1999,10,10
10,19,1999,20,12
10,10,1999,3,3
10,11,1999,6,6
10,6,1999,217,217
10,9,1999,4,4
11,19,1999,18,18
11,11,1999,24,24
11,5,1999,4,4
12,5,1999,7,5
12,7,1999,9,9
12,13,1999,6,6
12,9,1999,17,17
12,12,1999,8,8
12,15,1999,6,6
12,9,1999,35,35
12,9,1999,314,16
12,18,1999,4,4
12,20,1999,22,22
12,15,1999,10,10
1,17,2000,10,10
1,12,2000,41,22
1,13,2000,20,5
1,18,2000,4,4
1,21,2000,179,169
1,16,2000,88,88
2,16,2000,6,6
2,19,2000,3,3
3,18,2000,142,0
3,8,2000,9,9
3,12,2000,2,2
3,9,2000,10,10
3,18,2000,8,6
4,8,2000,1,1
4,9,2000,3,3
4,7,2000,131,131
5,14,2000,5,2
5,20,2000,6,6
5,9,2000,10,3
5,11,2000,19,19
5,2,2000,2,1
5,19,2000,8,8
6,11,2000,52,7
6,9,2000,5,5
6,7,2000,4,4
6,15,2000,44,44
6,11,2000,3,3
7,10,2000,15,14
7,19,2000,19,19
7,8,2000,19,13
7,0,2000,3,1
7,7,2000,58,55
7,0,2000,2,2
7,13,2000,2,2
7,10,2000,7,7
7,16,2000,109,109
7,10,2000,25,25
8,8,2000,6,6
8,15,2000,14,14
8,8,2000,11,11
8,23,2000,2,2
8,8,2000,3,3
8,19,2000,143,143
8,17,2000,9,1
8,12,2000,10,10
9,15,2000,8,8
9,9,2000,14,14
9,15,2000,10,5
10,16,2000,88,0
10,15,2000,3,3
10,9,2000,1,1
10,14,2000,3,2
10,17,2000,3,3
10,12,2000,17,8
10,18,2000,86,86
10,23,2000,179,83
10,11,2000,44,44
11,1,2000,1,1
11,13,2000,57,57
11,12,2000,114,1
11,6,2000,2,1
12,14,2000,6,6
1,17,2001,9,9
1,21,2001,2,2
1,18,2001,24,24
1,17,2001,10,10
1,16,2001,6,3
2,19,2001,6,2
2,15,2001,3,3
2,17,2001,2,2
3,14,2001,5,1
3,9,2001,21,21
3,10,2001,17,16
3,16,2001,19,19
3,18,2001,3,3
3,19,2001,18,18
4,16,2001,1,1
4,15,2001,16,16
4,5,2001,10,10
5,13,2001,34,34
5,12,2001,5,5
5,7,2001,30,30
5,16,2001,7,7
6,14,2001,19,1
7,2,2001,145,145
7,11,2001,12,8
7,12,2001,13,13
7,8,2001,10,10
7,16,2001,6,6
8,4,2001,3,3
8,14,2001,7,6
8,18,2001,304,0
8,5,2001,2,2
8,18,2001,9,9
8,10,2001,47,4
9,8,2001,92,92
9,9,2001,64,64
9,10,2001,44,44
9,9,2001,65,65
9,16,2001,19,19
9,7,2001,13,9
10,13,2001,3,3
10,13,2001,78,78
10,8,2001,114,114
10,17,2001,7,3
10,10,2001,10,10
10,9,2001,10,10
10,23,2001,3,2
10,18,2001,6,3
10,15,2001,5,3
11,9,2001,260,260
11,21,2001,27,27
11,13,2001,2,2
11,18,2001,17,2
11,22,2001,33,24
11,1,2001,13,1
11,11,2001,8,3
12,12,2001,18,18
12,1,2001,2,2
12,18,2001,2,2
12,10,2001,16,16
12,22'08,2001,2,2
12,10,2001,9,8
1,18,2002,5,5
1,12,2002,5,5
1,7,2002,3,3
1,8,2002,17,5
1,16,2002,62,1
1,11,2002,26,26
1,c: 9:40,2002,6,6
1,11,2002,92,92
2,17,2002,2,2
2,7,2002,117,117
2,6,2002,10,1
2,20,2002,20,17
2,2,2002,10,10
3,13,2002,3,3
3,16,2002,17,17
3,2,2002,1,1
3,8,2002,4,4
4,7,2002,4,4
4,4,2002,2,2
4,11,2002,166,128
4,9,2002,6,6
4,9,2002,8,3
4,13,2002,6,6
4,6,2002,20,8
5,13,2002,77,74
5,15,2002,62,14
5,21,2002,112,112
5,19,2002,5,5
5,15,2002,225,225
6,6,2002,3,3
6,9,2002,8,1
6,21,2002,10,3
7,23,2002,71,71
7,12,2002,2,2
7,11,2002,27,25
7,11,2002,4,4
7,19,2002,11,11
7,14,2002,4,4
7,12,2002,2,0
7,15,2002,16,14
8,22,2002,10,10
8,12,2002,5,5
8,9,2002,18,18
8,11,2002,16,16
8,13,2002,5,1
8,18,2002,31,23
9,9,2002,2,2
9,13,2002,6,6
9,11,2002,4,3
10,9,2002,5,1
10,19,2002,1,1
10,10,2002,8,8
11,10,2002,22,20
11,10,2002,10,7
11,14,2002,2,2
11,6,2002,34,19
11,14,2002,20,1
12,11,2002,3,3
12,22,2002,1,1
12,1,2002,2,2
12,19,2002,44,44
12,1,2002,1,1
12,11,2002,16,3
12,15,2002,16,1
1,20,2003,80,75
1,8,2003,21,21
1,8,2003,46,46
1,16,2003,13,3
1,15,2003,6,6
2,19,2003,3,2
2,20,2003,7,3
2,17,2003,275,275
2,8,2003,17,17
3,14,2003,25,11
3,15,2003,103,102
3,12,2003,16,4
3,15,2003,3,3
5,4,2003,75,75
5,13,2003,4,4
6,15,2003,2,2
6,19,2003,10,8
6,9,2003,4,4
6,23,2003,24,1
6,13,2003,7,7
6,15,2003,3,3
6,19,2003,4,4
6,10,2003,4,4
7,19,2003,4,4
7,11,2003,5,5
7,4,2003,117,116
7,15,2003,10,2
7,12,2003,10,4
7,18,2003,14,14
7,8,2003,5,5
8,6,2003,2,2
8,9,2003,16,1
8,13,2003,20,20
8,14,2003,21,21
8,15,2003,2,2
9,20,2003,8,8
9,17,2003,2,1
9,20,2003,6,6
9,19,2003,7,7
9,18,2003,3,3
10,21,2003,2,2
10,16,2003,2,1
10,4,2003,5,5
10,8,2003,3,3
10,8,2003,1,1
11,9,2003,36,15
11,10,2003,7,2
11,10,2003,4,4
11,18,2003,22,17
11,8,2003,1,1
11,15,2003,24,20
12,12,2003,3,2
12,22,2003,3,3
12,9,2003,2,2
12,14,2003,161,140
1,4,2004,148,148
1,19,2004,37,37
1,16,2004,10,10
1,20,2004,5,1
2,8,2004,9,9
2,11,2004,46,43
2,5,2004,6,6
3,17,2004,4,4
3,9,2004,7,3
3,20,2004,4,4
3,4,2004,5,5
3,17,2004,6,6
3,2,2004,5,4
5,16,2004,7,7
5,11,2004,7,7
5,13,2004,7,3
5,15,2004,10,6
5,18,2004,33,33
5,10,2004,12,1
5,10,2004,7,7
5,7,2004,2,2
5,13,2004,3,3
6,9,2004,30,19
6,9,2004,24,24
7,13,2004,6,6
7,9,2004,2,2
7,7,2004,2,1
7,8,2004,11,6
7,10,2004,3,2
8,0,2004,2,1
8,23,2004,2,2
8,11,2004,3,3
8,16,2004,25,25
8,22,2004,46,46
8,22,2004,41,41
8,16,2004,3,1
9,6,2004,2,2
9,11,2004,17,17
9,18,2004,1,1
10,12,2004,4,4
10,3,2004,7,7
10,22,2004,2,2
10,7,2004,3,3
10,15,2004,2,2
10,7,2004,15,13
10,16,2004,10,10
10,0,2004,5,5
11,13,2004,21,3
11,8,2004,53,53
11,6,2004,3,3
11,11,2004,6,6
11,9,2004,6,3
11,18,2004,154,26
11,19,2004,2,2
12,10,2004,2,2
12,10,2004,6,6
12,5,2004,2,2
1,5,2005,20,20
1,13,2005,9,9
1,22,2005,1,1
1,1,2005,31,31
1,8,2005,2,2
1,16,2005,10,10
2,17,2005,104,104
2,8,2005,7,7
2,20,2005,2,2
2,9,2005,8,8
2,13,2005,13,2
2,7,2005,18,15
3,9,2005,2,2
3,0,2005,2,2
3,13,2005,52,28
3,23,2005,8,8
3,10,2005,14,8
3,20,2005,9,9
4,12,2005,18,18
4,22,2005,169,3
4,11,2005,13,13
5,22,2005,2,2
5,13,2005,11,10
5,11,2005,15,15
5,12,2005,10,10
5,13,2005,13,13
6,11,2005,42,7
7,10,2005,60,60
8,16,2005,309,0
8,15,2005,39,16
8,12,2005,14,14
8,12,2005,121,121
8,3,2005,160,160
8,15,2005,98,40
9,9,2005,117,99
9,7,2005,11,11
9,15,2005,14,14
9,14,2005,2,2
9,9,2005,4,4
9,14,2005,6,4
10,5,2005,1,1
10,20,2005,117,117
11,22,2005,8,8
12,14,2005,94,94
12,19,2005,103,0
12,14,2005,109,108
12,14,2005,20,20
12,22,2005,23,23
12,14,2005,2,2
1,11,2006,3,3
1,13,2006,6,6
1,9,2006,11,11
1,19,2006,43,42
2,16,2006,3,3
2,12,2006,1,1
3,16,2006,6,6
3,16,2006,6,6
3,14,2006,2,2
3,11,2006,14,5
3,17,2006,19,19
4,10,2006,17,14
4,4,2006,6,6
4,20,2006,5,4
4,11,2006,16,2
4,6,2006,3,3
5,2,2006,113,113
5,12,2006,3,1
5,18,2006,4,4
6,14,2006,5,2
6,16,2006,40,40
6,13,2006,2,2
6,18,2006,7,5
6,11,2006,9,9
6,19,2006,3,1
7,11,2006,6,5
7,15,2006,5,5
7,7,2006,203,128
7,12,2006,45,45
8,9,2006,1,1
8,20,2006,3,3
8,15,2006,170,170
8,6,2006,50,49
9,13,2006,148,29
9,16,2006,14,14
9,17,2006,15,12
9,10,2006,18,13
9,15,2006,161,154
10,7,2006,16,4
10,7,2006,15,15
10,11,2006,105,96
11,8,2006,12,12
11,21,2006,5,5
11,7,2006,38,38
12,2,2006,3,3
12,18,2006,2,2
12,3,2006,6,3
1,14,2007,102,102
1,12,2007,10,1
1,12,2007,35,34
1,23,2007,2,2
1,11,2007,2,2
1,11,2007,54,0
2,19,2007,6,1
2,4,2007,3,3
3,7,2007,140,22
3,15,2007,7,4
3,23,2007,5,1
3,11,2007,57,6
3,17,2007,11,11
4,14,2007,5,3
4,11,2007,18,18
5,9,2007,9,9
5,11,2007,3,3
5,17,2007,20,13
6,20,2007,22,21
6,16,2007,6,6
6,10,2007,22,22
6,13,2007,78,5
7,9,2007,3,3
7,14,2007,9,2
7,13,2007,5,1
7,18,2007,187,187
7,13,2007,9,1
7,14,2007,5,5
7,4,2007,9,9
8,22,2007,5,5
8,12,2007,20,20
8,23,2007,10,6
8,0,2007,2,2
8,16,2007,15,14
9,12,2007,8,8
9,15,2007,130,90
10,10,2007,22,21
10,22,2007,3,3
10,20,2007,10,10
10,15,2007,18,18
11,14,2007,2,2
11,8,2007,4,0
11,1,2007,57,57
12,17,2007,4,4
12,6,2007,2,2
12,17,2007,5,5
1,9,2008,18,18
1,13,2008,10,6
1,12,2008,11,11
1,5,2008,1,1
1,12,2008,152,0
1,8,2008,13,13
1,19,2008,20,20
1,9,2008,3,3
2,17,2008,46,46
2,16,2008,20,5
3,16,2008,10,10
3,8,2008,3,3
4,11,2008,19,19
4,23,2008,1,1
4,22,2008,8,8
4,14,2008,85,0
4,14,2008,13,13
4,9,2008,20,20
5,10,2008,24,24
5,16,2008,5,2
5,1,2008,1,1
5,9,2008,6,4
5,18,2008,9,9
5,14,2008,12,11
5,9,2008,136,3
6,14,2008,10,10
6,7,2008,4,4
6,20,2008,214,32
6,10,2008,1,1
6,15,2008,18,18
6,7,2008,8,7
6,15,2008,7,6
6,7,2008,4,4
7,2,2008,2,1
7,3,2008,8,0
7,10,2008,9,9
7,9,2008,8,8
8,7,2008,7,5
8,19,2008,13,9
8,11,2008,10,10
8,7,2008,3,3
8,14,2008,172,154
8,20,2008,90,68
8,9,2008,14,11
8,21,2008,3,3
9,16,2008,17,17
9,12,2008,3,3
9,20,2008,7,7
9,3,2008,88,88
9,23,2008,6,4
9,3,2008,5,4
10,7,2008,19,18
10,23,2008,4,4
11,18,2008,8,8
11,11,2008,5,4
11,11,2008,7,7
11,10,2008,8,7
11,17,2008,7,7
12,12,2008,3,3
12,6,2008,3,3
12,16,2008,12,12
1,15,2009,9,8
1,15,2009,155,0
2,14,2009,28,24
2,6,2009,2,2
2,22,2009,49,49
2,16,2009,13,13
2,4,2009,5,5
2,10,2009,134,9
3,5,2009,11,11
3,9,2009,18,17
3,14,2009,14,14
3,6,2009,2,2
4,14,2009,16,16
4,12,2009,24,24
4,7,2009,6,6
4,10,2009,11,11
4,15,2009,11,1
4,6,2009,7,7
5,12,2009,18,18
5,6,2009,112,98
6,0,2009,228,228
6,8,2009,1,1
