Country or territory of asylum or residence,Year,Refugees,Refugees assisted by UNHCR,Total refugees and people in refugee-like situations,Total refugees and people in refugee-like situations assisted by UNHCR
Algeria,2016,1,1,1,1
Angola,2016,288,16,288,16
Argentina,2016,5,,5,
Australia,2016,89,,89,
Austria,2016,4163,,4163,
Bangladesh,2016,3,3,3,3
Belarus,2016,1,,1,
Belgium,2016,1280,,1280,
Benin,2016,1,1,1,1
Botswana,2016,300,300,300,300
Brazil,2016,46,3,46,3
Bulgaria,2016,49,49,49,49
Burundi,2016,21,21,21,21
Cambodia,2016,1,1,1,1
Canada,2016,2775,,2775,
Chad,2016,8,8,8,8
Chile,2016,2,,2,
China,2016,102,102,102,102
Colombia,2016,11,,11,
Costa Rica,2016,7,7,7,7
Croatia,2016,21,21,21,21
Cuba,2016,1,1,1,1
Cyprus,2016,67,10,67,10
Czechia,2016,22,,22,
Dem. Rep. of the Congo,2016,34,34,34,34
Denmark,2016,1280,,1280,
Djibouti,2016,13021,13021,13021,13021
Egypt,2016,3384,3384,3384,3384
Eritrea,2016,2244,2244,2244,2244
Estonia,2016,4,,4,
Ethiopia,2016,242014,242014,242014,242014
Finland,2016,3304,,3304,
France,2016,2524,,2524,
Gabon,2016,3,3,3,3
Gambia,2016,2,2,2,2
Germany,2016,7879,,7879,
Ghana,2016,55,55,55,55
Greece,2016,262,,262,
Guinea,2016,1,1,1,1
"Hong Kong SAR, China",2016,27,,27,
Hungary,2016,644,,644,
Iceland,2016,7,,7,
India,2016,554,554,554,554
Indonesia,2016,548,548,548,548
Ireland,2016,480,4,480,4
Italy,2016,14336,,14336,
Japan,2016,5,2,5,2
Jordan,2016,626,626,626,626
Kenya,2016,324448,324448,324448,324448
Kuwait,2016,421,318,421,318
Latvia,2016,7,,7,
Lebanon,2016,19,19,19,19
Liberia,2016,2,2,2,2
Libya,2016,164,164,164,164
Liechtenstein,2016,47,,47,
Lithuania,2016,22,,22,
Luxembourg,2016,44,,44,
Malawi,2016,52,52,52,52
Malaysia,2016,729,729,729,729
Malta,2016,1724,1000,1724,1000
Mauritania,2016,5,5,5,5
Mexico,2016,1,,1,
Mozambique,2016,145,1,145,1
Namibia,2016,9,9,9,9
Nauru,2016,60,,60,
Nepal,2016,17,17,17,17
Netherlands,2016,16512,,16512,
New Zealand,2016,18,,18,
Niger,2016,9,9,9,9
Nigeria,2016,1,1,1,1
Norway,2016,8379,,8379,
Pakistan,2016,214,214,214,214
Panama,2016,1,,1,
Papua New Guinea,2016,9,,9,
Peru,2016,2,,2,
Philippines,2016,17,9,17,9
Poland,2016,46,,46,
Portugal,2016,51,,51,
Qatar,2016,8,8,8,8
Rep. of Korea,2016,3,,3,
Romania,2016,31,3,31,3
Rwanda,2016,3,3,3,3
Saudi Arabia,2016,16,16,16,16
Senegal,2016,1,1,1,1
Serbia (and Kosovo: S/RES/1244 (1999)),2016,3,3,3,3
Slovakia,2016,190,,190,
Slovenia,2016,48,,48,
South Africa,2016,28695,,28695,
South Sudan,2016,4,4,4,4
Spain,2016,565,,565,
Sri Lanka,2016,1,1,1,1
Sudan,2016,184,184,184,184
Swaziland,2016,55,22,55,22
Sweden,2016,22548,,22548,
Switzerland,2016,4440,,4440,
Syrian Arab Rep.,2016,437,437,437,437
Thailand,2016,156,156,156,156
Togo,2016,1,1,1,1
Tunisia,2016,13,13,13,13
Turkey,2016,2239,2239,2239,2239
Uganda,2016,30689,30689,30689,30689
Ukraine,2016,133,41,133,41
United Arab Emirates,2016,17,17,17,17
United Kingdom,2016,5954,,5954,
United Rep. of Tanzania,2016,150,150,150,150
United States,2016,2319,,2319,
Uruguay,2016,3,,3,
Yemen,2016,255121,105389,255121,105389
Zambia,2016,2595,2595,2595,2595
Zimbabwe,2016,24,24,24,24
Algeria,2015,1,1,1,1
Angola,2015,288,16,288,16
Argentina,2015,5,,5,
Australia,2015,71,,71,
Austria,2015,3406,,3406,
Bangladesh,2015,6,6,6,6
Belarus,2015,1,1,1,1
Belgium,2015,648,,648,
Benin,2015,1,1,1,1
Botswana,2015,330,330,330,330
Brazil,2015,45,1,45,1
Bulgaria,2015,46,46,46,46
Burundi,2015,18,18,18,18
Cambodia,2015,1,1,1,1
Canada,2015,2531,,2531,
Chad,2015,12,12,12,12
Chile,2015,2,,2,
China,2015,117,117,117,117
Colombia,2015,11,,11,
Costa Rica,2015,7,7,7,7
Croatia,2015,15,15,15,15
Cuba,2015,1,1,1,1
Cyprus,2015,39,19,39,19
Czechia,2015,22,,22,
Dem. Rep. of the Congo,2015,34,34,34,34
Denmark,2015,1260,,1260,
Djibouti,2015,12323,12323,12323,12323
Ecuador,2015,7,,7,
Egypt,2015,4491,4491,4491,4491
Eritrea,2015,2485,2485,2485,2485
Estonia,2015,4,,4,
Ethiopia,2015,256669,256669,256669,256669
Finland,2015,3062,,3062,
France,2015,2007,,2007,
Gabon,2015,3,3,3,3
Gambia,2015,1,1,1,1
Germany,2015,4860,,4860,
Ghana,2015,59,59,59,59
Greece,2015,210,,240,
Guinea,2015,5,5,5,5
"Hong Kong SAR, China",2015,43,43,43,43
Hungary,2015,611,,611,
Iceland,2015,7,,7,
India,2015,465,465,465,465
Indonesia,2015,448,448,448,448
Ireland,2015,501,,501,
Italy,2015,13068,,13068,
Japan,2015,4,1,4,1
Jordan,2015,601,601,601,601
Kenya,2015,417920,417920,417920,417920
Kuwait,2015,286,286,286,286
Latvia,2015,7,,7,
Lebanon,2015,23,23,23,23
Liberia,2015,2,2,2,2
Libya,2015,164,164,164,164
Liechtenstein,2015,45,,45,
Lithuania,2015,22,,22,
Luxembourg,2015,38,,38,
Madagascar,2015,1,1,1,1
Malawi,2015,57,57,57,57
Malaysia,2015,835,835,835,835
Malta,2015,1865,620,1865,620
Mauritania,2015,5,5,5,5
Mexico,2015,1,1,1,1
Mozambique,2015,208,5,208,5
Namibia,2015,10,10,10,10
Nauru,2015,60,,60,
Nepal,2015,11,11,11,11
Netherlands,2015,17444,,17444,
New Zealand,2015,21,,21,
Niger,2015,9,9,9,9
Nigeria,2015,1,1,1,1
Norway,2015,8600,,8600,
Pakistan,2015,375,375,375,375
Panama,2015,1,1,1,1
Papua New Guinea,2015,6,,6,
Peru,2015,2,,2,
Philippines,2015,12,1,12,1
Poland,2015,48,,48,
Portugal,2015,50,,50,
Qatar,2015,8,8,8,8
Rep. of Korea,2015,3,,3,
Romania,2015,20,6,20,6
Rwanda,2015,3,3,3,3
Saudi Arabia,2015,16,16,16,16
Senegal,2015,1,1,1,1
Serbia (and Kosovo: S/RES/1244 (1999)),2015,1,1,1,1
Slovakia,2015,188,,188,
Slovenia,2015,48,,48,
South Africa,2015,41458,4146,41458,4146
South Sudan,2015,2,2,2,2
Spain,2015,474,,474,
Sri Lanka,2015,1,1,1,1
Sudan,2015,147,147,147,147
Swaziland,2015,52,22,52,22
Sweden,2015,21501,,21501,
Switzerland,2015,4334,,4334,
Syrian Arab Rep.,2015,490,490,490,490
Thailand,2015,81,81,81,81
Togo,2015,1,1,1,1
Tunisia,2015,13,13,13,13
Turkey,2015,2364,2364,2364,2364
Uganda,2015,27720,27720,27720,27720
Ukraine,2015,115,48,115,48
United Arab Emirates,2015,21,21,21,21
United Kingdom,2015,6977,,6977,
United Rep. of Tanzania,2015,150,150,150,150
United States,2015,2313,,2313,
Uruguay,2015,3,,3,
Yemen,2015,253215,103483,253215,103483
Zambia,2015,2403,2403,2403,2403
Zimbabwe,2015,22,22,22,22
Algeria,2014,1,1,1,1
Angola,2014,272,,272,
Argentina,2014,5,,5,
Australia,2014,73,,73,
Austria,2014,2641,,2641,
Bangladesh,2014,6,6,6,6
Belarus,2014,1,1,1,1
Belgium,2014,625,,625,
Benin,2014,1,1,1,1
Bosnia and Herzegovina,2014,1,1,1,1
Botswana,2014,374,374,374,374
Brazil,2014,45,,45,
Bulgaria,2014,56,22,56,22
Burundi,2014,19,19,19,19
Cambodia,2014,1,1,1,1
Canada,2014,2821,,2821,
Chad,2014,12,12,12,12
Chile,2014,2,,2,
China,2014,120,120,120,120
Colombia,2014,11,,11,
Costa Rica,2014,15,15,15,15
Croatia,2014,12,12,12,12
Cyprus,2014,33,1,33,1
Czechia,2014,22,,22,
Dem. Rep. of the Congo,2014,31,31,31,31
Denmark,2014,1134,,1134,
Djibouti,2014,19720,19720,19720,19720
Ecuador,2014,7,7,7,7
Egypt,2014,5733,5733,5733,5733
Eritrea,2014,2758,2758,2758,2758
Estonia,2014,4,,4,
Ethiopia,2014,245097,245097,245097,245097
Fiji,2014,1,1,1,1
Finland,2014,2817,,2817,
France,2014,1896,,1896,
Gabon,2014,3,3,3,3
Gambia,2014,4,4,4,4
Germany,2014,4205,,4205,
Ghana,2014,38,38,38,38
Greece,2014,163,,163,
Guinea,2014,5,5,5,5
"Hong Kong SAR, China",2014,42,42,42,42
Hungary,2014,496,,496,
Iceland,2014,5,,5,
India,2014,654,654,654,654
Indonesia,2014,322,322,322,322
Iraq,2014,1,1,1,1
Ireland,2014,503,,503,
Italy,2014,12213,,12213,
Japan,2014,3,1,3,1
Jordan,2014,598,598,598,598
Kazakhstan,2014,1,1,1,1
Kenya,2014,424691,424691,424691,424691
Kuwait,2014,94,94,94,94
Latvia,2014,7,,7,
Lebanon,2014,31,31,31,31
Liberia,2014,1,1,1,1
Libya,2014,164,,164,
Liechtenstein,2014,28,,28,
Lithuania,2014,22,,22,
Luxembourg,2014,33,,33,
Malawi,2014,45,45,45,45
Malaysia,2014,850,850,850,850
Malta,2014,2270,,2270,
Mauritania,2014,4,4,4,4
Mozambique,2014,89,,89,
Namibia,2014,9,9,9,9
Nauru,2014,43,,43,
Nepal,2014,20,20,20,20
Netherlands,2014,18687,,18687,
New Zealand,2014,30,,30,
Niger,2014,9,9,9,9
Nigeria,2014,4,4,4,4
Norway,2014,8901,,8901,
Pakistan,2014,412,412,412,412
Panama,2014,1,1,1,1
Papua New Guinea,2014,6,,6,
Peru,2014,2,,2,
Philippines,2014,6,,6,
Poland,2014,59,,59,
Portugal,2014,46,,46,
Qatar,2014,8,8,8,8
Rep. of Korea,2014,3,3,3,3
Romania,2014,21,5,21,5
Rwanda,2014,3,3,3,3
Saudi Arabia,2014,21,21,21,21
Senegal,2014,1,1,1,1
Serbia (and Kosovo: S/RES/1244 (1999)),2014,1,1,1,1
Slovakia,2014,185,,185,
Slovenia,2014,41,,41,
South Africa,2014,40133,4013,40133,4013
Spain,2014,374,,374,
Sri Lanka,2014,1,1,1,1
Sudan,2014,181,181,181,181
Swaziland,2014,25,19,25,19
Sweden,2014,21189,,21189,
Switzerland,2014,4279,,4279,
Syrian Arab Rep.,2014,630,630,630,630
Thailand,2014,72,72,72,72
Togo,2014,1,1,1,1
Tunisia,2014,81,81,81,81
Turkey,2014,2389,2389,2389,2389
Uganda,2014,17010,17010,17010,17010
Ukraine,2014,118,34,118,34
United Arab Emirates,2014,21,21,21,21
United Kingdom,2014,8512,,8512,
United Rep. of Tanzania,2014,150,150,150,150
United States,2014,2263,,2263,
Uruguay,2014,3,,3,
Yemen,2014,244204,104274,244204,104274
Zambia,2014,2314,2314,2314,2314
Zimbabwe,2014,13,13,13,13
Algeria,2013,4,4,4,4
Angola,2013,215,30,215,30
Argentina,2013,5,,5,
Australia,2013,67,,67,
Austria,2013,2278,,2278,
Bangladesh,2013,12,12,12,12
Belgium,2013,559,,559,
Botswana,2013,450,450,450,450
Brazil,2013,45,2,45,2
Bulgaria,2013,86,15,86,15
Burundi,2013,17,17,17,17
Cambodia,2013,1,1,1,1
Cameroon,2013,1,1,1,1
Canada,2013,3225,,3225,
Chad,2013,12,12,12,12
Chile,2013,2,,2,
China,2013,82,82,82,82
Colombia,2013,11,,11,
Costa Rica,2013,15,15,15,15
Croatia,2013,5,5,5,5
Cuba,2013,1,1,1,1
Cyprus,2013,11,,11,
Czechia,2013,29,,29,
Dem. Rep. of the Congo,2013,30,30,30,30
Denmark,2013,798,,798,
Djibouti,2013,19169,19169,19169,19169
Ecuador,2013,7,7,7,7
Egypt,2013,6316,6316,6316,6316
Eritrea,2013,3054,3054,3054,3054
Estonia,2013,4,,4,
Ethiopia,2013,240825,240825,240825,240825
Fiji,2013,1,1,1,1
Finland,2013,2744,,2744,
France,2013,1674,,1674,
Gabon,2013,4,4,4,4
Gambia,2013,5,5,5,5
Germany,2013,3512,,3512,
Ghana,2013,26,26,26,26
Greece,2013,82,,82,
Guinea,2013,2,2,2,2
"Hong Kong SAR, China",2013,22,22,22,22
Hungary,2013,446,,446,
Iceland,2013,5,,5,
India,2013,729,729,729,729
Indonesia,2013,294,294,294,294
Iraq,2013,1,1,1,1
Ireland,2013,559,,559,
Italy,2013,10846,,10846,
Japan,2013,3,1,3,1
Jordan,2013,486,486,486,486
Kazakhstan,2013,1,1,1,1
Kenya,2013,475304,475304,475304,475304
Kuwait,2013,119,119,119,119
Latvia,2013,7,,7,
Lebanon,2013,33,33,33,33
Liberia,2013,1,1,1,1
Libya,2013,167,167,167,167
Liechtenstein,2013,26,,26,
Lithuania,2013,22,,22,
Luxembourg,2013,20,,20,
Malawi,2013,49,49,49,49
Malaysia,2013,930,930,930,930
Malta,2013,5543,,5543,
Mauritania,2013,1,1,1,1
Morocco,2013,1,1,1,1
Mozambique,2013,88,,88,
Namibia,2013,7,7,7,7
Nepal,2013,33,33,33,33
Netherlands,2013,18799,,18799,
New Zealand,2013,35,,35,
Niger,2013,9,9,9,9
Nigeria,2013,2,2,2,2
Norway,2013,9275,,9275,
Pakistan,2013,456,456,456,456
Panama,2013,1,1,1,1
Papua New Guinea,2013,5,,5,
Peru,2013,2,,2,
Philippines,2013,8,1,8,1
Poland,2013,54,,54,
Portugal,2013,44,,44,
Qatar,2013,8,8,8,8
Rep. of Korea,2013,3,1,3,1
Rep. of Moldova,2013,1,1,1,1
Romania,2013,18,3,18,3
Rwanda,2013,3,3,3,3
Saudi Arabia,2013,20,20,20,20
Senegal,2013,1,1,1,1
Serbia (and Kosovo: S/RES/1244 (1999)),2013,1,1,1,1
Slovakia,2013,168,,168,
Slovenia,2013,23,,23,
South Africa,2013,20818,4163,20818,4163
Spain,2013,284,,284,
Sudan,2013,753,114,753,114
Swaziland,2013,22,19,22,19
Sweden,2013,20613,,20613,
Switzerland,2013,4101,,4101,
Syrian Arab Rep.,2013,1007,1007,1007,1007
Thailand,2013,72,72,72,72
Tunisia,2013,139,139,139,139
Turkey,2013,2153,2153,2153,2153
Uganda,2013,13144,13144,13144,13144
Ukraine,2013,116,7,116,7
United Arab Emirates,2013,23,23,23,23
United Kingdom,2013,11249,,11249,
United Rep. of Tanzania,2013,2136,2136,2136,2136
United States,2013,2310,,2310,
Uruguay,2013,3,2,3,2
Yemen,2013,230506,230506,230506,230506
Zambia,2013,2216,2216,2216,2216
Zimbabwe,2013,40,40,40,40
Algeria,2012,4,,4,
Angola,2012,215,30,215,30
Argentina,2012,5,,5,
Australia,2012,66,,66,
Austria,2012,1915,,1915,
Bangladesh,2012,12,12,12,12
Belgium,2012,288,,288,
Botswana,2012,445,445,445,445
Brazil,2012,43,31,43,31
Bulgaria,2012,93,,93,
Burundi,2012,20,20,20,20
Cambodia,2012,8,,8,
Cameroon,2012,1,1,1,1
Canada,2012,3459,,3459,
Chad,2012,12,12,12,12
Chile,2012,2,,2,
China,2012,48,45,48,45
Colombia,2012,11,,11,
Costa Rica,2012,15,15,15,15
Cyprus,2012,9,,9,
Czechia,2012,30,,30,
Dem. Rep. of the Congo,2012,29,29,29,29
Denmark,2012,531,,531,
Djibouti,2012,18289,18289,18289,18289
Ecuador,2012,7,7,7,7
Egypt,2012,6250,6250,6250,6250
Eritrea,2012,3440,3440,3440,3440
Estonia,2012,4,,4,
Ethiopia,2012,223031,223031,223031,223031
Fiji,2012,1,1,1,1
Finland,2012,2571,,2571,
France,2012,1489,,1489,
Gabon,2012,4,4,4,4
Gambia,2012,5,4,5,4
Germany,2012,3634,,3634,
Ghana,2012,21,21,21,21
Greece,2012,38,,38,
Guinea,2012,2,2,2,2
"Hong Kong SAR, China",2012,21,21,21,21
Hungary,2012,431,,431,
Iceland,2012,5,,5,
India,2012,739,739,739,739
Indonesia,2012,160,160,160,160
Iraq,2012,2,2,2,2
Ireland,2012,505,,505,
Israel,2012,1,,1,
Italy,2012,9284,,9284,
Japan,2012,2,1,2,1
Jordan,2012,318,318,318,318
Kazakhstan,2012,1,1,1,1
Kenya,2012,512069,512069,512069,512069
Kuwait,2012,121,121,121,121
Latvia,2012,7,,7,
Lebanon,2012,23,23,24,24
Liberia,2012,1,1,1,1
Libya,2012,165,165,165,165
Liechtenstein,2012,23,,23,
Lithuania,2012,22,,22,
Malawi,2012,55,55,55,55
Malaysia,2012,929,929,929,929
Malta,2012,5041,,5041,
Morocco,2012,7,7,7,7
Mozambique,2012,89,,89,
Namibia,2012,4,4,4,4
Nepal,2012,50,50,50,50
Netherlands,2012,16286,,16286,
New Zealand,2012,45,,45,
Niger,2012,9,9,9,9
Nigeria,2012,21,21,21,21
Norway,2012,8870,,8870,
Pakistan,2012,517,517,517,517
Panama,2012,1,1,1,1
Papua New Guinea,2012,5,5,5,5
Peru,2012,2,,2,
Philippines,2012,5,1,5,1
Poland,2012,48,,48,
Portugal,2012,40,,40,
Qatar,2012,8,8,8,8
Rep. of Korea,2012,3,1,3,1
Rep. of Moldova,2012,1,1,1,1
Romania,2012,94,5,94,5
Russian Federation,2012,4,4,4,4
Rwanda,2012,3,3,3,3
Saudi Arabia,2012,20,20,20,20
Senegal,2012,1,1,1,1
Serbia (and Kosovo: S/RES/1244 (1999)),2012,1,,1,
Slovakia,2012,161,,161,
Slovenia,2012,20,,20,
South Africa,2012,17864,1871,17864,1871
Spain,2012,196,,196,
Sudan,2012,372,111,372,111
Swaziland,2012,22,19,22,19
Sweden,2012,19416,,19416,
Switzerland,2012,4135,,4135,
Syrian Arab Rep.,2012,2217,2217,2217,2217
Thailand,2012,136,136,136,136
Togo,2012,1,1,1,1
Tunisia,2012,510,510,510,510
Turkey,2012,1669,1669,1669,1669
Uganda,2012,19000,19000,19000,19000
Ukraine,2012,112,23,112,23
United Arab Emirates,2012,19,19,19,19
United Kingdom,2012,15134,,15134,
United Rep. of Tanzania,2012,2105,2105,2105,2105
United States,2012,2412,,2412,
Uruguay,2012,3,2,3,2
Yemen,2012,226909,226909,226909,226909
Zambia,2012,2177,2013,2177,2013
Zimbabwe,2012,22,22,22,22
Algeria,2011,4,4,4,4
Angola,2011,215,30,215,30
Argentina,2011,5,,5,
Australia,2011,77,,77,
Austria,2011,1473,,1473,
Bangladesh,2011,15,15,15,15
Belgium,2011,247,,247,
Benin,2011,4,4,4,4
Botswana,2011,516,516,516,516
Brazil,2011,41,36,41,36
Bulgaria,2011,132,,132,
Burundi,2011,22,22,22,22
Cambodia,2011,8,8,8,8
Canada,2011,3629,,3629,
Chad,2011,9,9,9,9
Chile,2011,2,2,2,2
China,2011,22,16,22,16
Colombia,2011,11,,11,
Costa Rica,2011,15,15,15,15
Cyprus,2011,8,,8,
Czechia,2011,21,,21,
Dem. Rep. of the Congo,2011,29,29,29,29
Denmark,2011,904,,904,
Djibouti,2011,19426,19426,19426,19426
Ecuador,2011,7,7,7,7
Egypt,2011,6328,6328,6328,6328
Eritrea,2011,4472,4472,4472,4472
Estonia,2011,1,,1,
Ethiopia,2011,185466,185466,185466,185466
Fiji,2011,1,1,1,1
Finland,2011,2404,,2404,
France,2011,1303,,1303,
Gabon,2011,4,4,4,4
Gambia,2011,4,4,4,4
Germany,2011,3139,,3139,
Ghana,2011,19,19,19,19
Greece,2011,37,,37,
Guinea,2011,2,2,2,2
"Hong Kong SAR, China",2011,40,40,40,40
Hungary,2011,406,,406,
Iceland,2011,5,,5,
India,2011,766,766,766,766
Indonesia,2011,69,69,69,69
Ireland,2011,542,,542,
Italy,2011,8497,,8497,
Japan,2011,2,2,2,2
Jordan,2011,242,242,242,242
Kazakhstan,2011,1,1,1,1
Kenya,2011,517666,517666,517666,517666
Kuwait,2011,42,42,42,42
Latvia,2011,7,,7,
Lebanon,2011,20,20,20,20
Liberia,2011,1,1,1,1
Libya,2011,313,313,2213,2213
Liechtenstein,2011,5,,5,
Lithuania,2011,22,,22,
Malawi,2011,55,55,55,55
Malaysia,2011,812,812,812,812
Malta,2011,4009,,4009,
Mexico,2011,2,1,2,1
Morocco,2011,8,8,8,8
Mozambique,2011,32,2,32,2
Namibia,2011,4,4,4,4
Nepal,2011,73,73,73,73
Netherlands,2011,15715,,15715,
New Zealand,2011,61,,61,
Nicaragua,2011,2,2,2,2
Niger,2011,9,9,9,9
Nigeria,2011,21,21,21,21
Norway,2011,7981,,7981,
Pakistan,2011,536,536,536,536
Panama,2011,1,1,1,1
Peru,2011,2,,2,
Philippines,2011,4,,4,
Poland,2011,51,,51,
Portugal,2011,33,,33,
Qatar,2011,8,8,8,8
Rep. of Korea,2011,3,,3,
Rep. of Moldova,2011,1,1,1,1
Romania,2011,85,2,85,2
Russian Federation,2011,5,5,5,5
Rwanda,2011,8,8,8,8
Saudi Arabia,2011,20,20,20,20
Senegal,2011,3,3,3,3
Serbia (and Kosovo: S/RES/1244 (1999)),2011,1,,1,
Slovakia,2011,80,,80,
Slovenia,2011,12,,12,
South Africa,2011,15186,,15186,
Spain,2011,147,,147,
Sudan,2011,130,83,130,83
Swaziland,2011,69,,69,
Sweden,2011,17602,,17602,
Switzerland,2011,4148,,4148,
Syrian Arab Rep.,2011,2538,2538,2538,2538
Thailand,2011,142,142,142,142
Togo,2011,1,1,1,1
Trinidad and Tobago,2011,2,2,2,2
Tunisia,2011,953,952,953,952
Turkey,2011,1105,1105,1105,1105
Uganda,2011,14023,14023,14023,14023
Ukraine,2011,33,6,33,6
United Arab Emirates,2011,19,19,19,19
United Kingdom,2011,19668,,19668,
United Rep. of Tanzania,2011,1530,1530,1530,1530
United States,2011,2996,,2996,
Uruguay,2011,3,2,3,2
Yemen,2011,204685,204685,204685,204685
Zambia,2011,1842,1442,1842,1442
Zimbabwe,2011,21,21,21,21
,,,,,
fnSeqID,,,,,
*,,,,,
**,,,,,
