Country of Origin,Country or territory of asylum or residence,Year,Refugees<sup>*</sup>,Refugees assisted by UNHCR
Vietnam,Australia,2016,126,
Vietnam,Austria,2016,27,
Vietnam,Belgium,2016,40,
Vietnam,Brazil,2016,4,
Vietnam,Cambodia,2016,32,32
Vietnam,Canada,2016,41,
Vietnam,China,2016,317098,1
Vietnam,Côte d'Ivoire,2016,4,4
Vietnam,Cyprus,2016,1,
Vietnam,Czechia,2016,70,
Vietnam,Finland,2016,5,
Vietnam,France,2016,8008,
Vietnam,Germany,2016,1311,
Vietnam,Greece,2016,7,
Vietnam,"Hong Kong SAR, China",2016,2,
Vietnam,Hungary,2016,1,
Vietnam,Ireland,2016,7,
Vietnam,Italy,2016,9,
Vietnam,Japan,2016,2,1
Vietnam,Lithuania,2016,1,
Vietnam,Malaysia,2016,,
Vietnam,Netherlands,2016,9,
Vietnam,New Zealand,2016,8,
Vietnam,Norway,2016,48,
Vietnam,Paraguay,2016,6,
Vietnam,Peru,2016,1,
Vietnam,Philippines,2016,21,13
Vietnam,Poland,2016,15,
Vietnam,Romania,2016,1,
Vietnam,Slovakia,2016,1,
Vietnam,Spain,2016,1,
Vietnam,Sweden,2016,78,
Vietnam,Switzerland,2016,1084,
Vietnam,Thailand,2016,264,264
Vietnam,United Kingdom,2016,738,
Vietnam,United States,2016,264,
Vietnam,Yemen,2016,15,15
Vietnam,Australia,2015,94,
Vietnam,Austria,2015,32,
Vietnam,Belgium,2015,42,
Vietnam,Brazil,2015,4,
Vietnam,Cambodia,2015,45,45
Vietnam,Canada,2015,114,
Vietnam,China,2015,300896,1
Vietnam,Côte d'Ivoire,2015,9,9
Vietnam,Cyprus,2015,1,
Vietnam,Czechia,2015,70,
Vietnam,Ecuador,2015,3,
Vietnam,Finland,2015,3,
Vietnam,France,2015,8132,
Vietnam,Germany,2015,1357,
Vietnam,Greece,2015,7,
Vietnam,"Hong Kong SAR, China",2015,2,2
Vietnam,Hungary,2015,8,
Vietnam,Ireland,2015,7,
Vietnam,Italy,2015,8,
Vietnam,Japan,2015,19,4
Vietnam,Lithuania,2015,1,
Vietnam,Luxembourg,2015,1,
Vietnam,Malaysia,2015,1,1
Vietnam,Netherlands,2015,15,
Vietnam,New Zealand,2015,8,
Vietnam,Norway,2015,14,
Vietnam,Paraguay,2015,6,
Vietnam,Peru,2015,1,
Vietnam,Philippines,2015,8,
Vietnam,Poland,2015,15,
Vietnam,Romania,2015,1,
Vietnam,Slovakia,2015,1,
Vietnam,Spain,2015,3,
Vietnam,Sweden,2015,76,
Vietnam,Switzerland,2015,1130,
Vietnam,Thailand,2015,201,201
Vietnam,Ukraine,2015,5,
Vietnam,United Kingdom,2015,533,
Vietnam,United States,2015,266,
Vietnam,Yemen,2015,15,15
Vietnam,Australia,2014,93,
Vietnam,Austria,2014,36,
Vietnam,Belgium,2014,16,
Vietnam,Brazil,2014,4,
Vietnam,Cambodia,2014,33,33
Vietnam,Canada,2014,126,
Vietnam,China,2014,300896,1
Vietnam,Côte d'Ivoire,2014,9,9
Vietnam,Cyprus,2014,1,
Vietnam,Czechia,2014,68,
Vietnam,Denmark,2014,5,
Vietnam,Ecuador,2014,3,3
Vietnam,Finland,2014,3,
Vietnam,France,2014,8281,
Vietnam,Germany,2014,1449,
Vietnam,Greece,2014,7,
Vietnam,"Hong Kong SAR, China",2014,8,8
Vietnam,Ireland,2014,5,
Vietnam,Italy,2014,8,
Vietnam,Japan,2014,68,4
Vietnam,Lithuania,2014,1,
Vietnam,Luxembourg,2014,1,
Vietnam,Malaysia,2014,7,7
Vietnam,Netherlands,2014,24,
Vietnam,New Zealand,2014,4,
Vietnam,Norway,2014,14,
Vietnam,Paraguay,2014,6,
Vietnam,Peru,2014,1,
Vietnam,Philippines,2014,4,
Vietnam,Poland,2014,15,
Vietnam,Slovakia,2014,1,
Vietnam,Spain,2014,4,
Vietnam,Sweden,2014,78,
Vietnam,Switzerland,2014,1203,
Vietnam,Thailand,2014,99,99
Vietnam,Ukraine,2014,5,
Vietnam,United Kingdom,2014,546,
Vietnam,United States,2014,270,
Vietnam,Yemen,2014,15,15
Vietnam,Australia,2013,90,
Vietnam,Austria,2013,38,
Vietnam,Belgium,2013,15,
Vietnam,Brazil,2013,4,
Vietnam,Burkina Faso,2013,5,
Vietnam,Cambodia,2013,35,35
Vietnam,Canada,2013,132,
Vietnam,China,2013,300896,1
Vietnam,Côte d'Ivoire,2013,8,8
Vietnam,Cyprus,2013,1,
Vietnam,Czechia,2013,67,
Vietnam,Denmark,2013,6,
Vietnam,Ecuador,2013,3,3
Vietnam,Finland,2013,3,
Vietnam,France,2013,8528,
Vietnam,Gabon,2013,4,4
Vietnam,Germany,2013,1495,
Vietnam,Greece,2013,4,
Vietnam,"Hong Kong SAR, China",2013,7,7
Vietnam,Hungary,2013,1,
Vietnam,Ireland,2013,5,
Vietnam,Italy,2013,9,
Vietnam,Japan,2013,212,4
Vietnam,Lithuania,2013,1,
Vietnam,Luxembourg,2013,1,
Vietnam,Malaysia,2013,10,10
Vietnam,Netherlands,2013,28,
Vietnam,New Zealand,2013,3,
Vietnam,Norway,2013,16,
Vietnam,Paraguay,2013,6,
Vietnam,Peru,2013,1,
Vietnam,Philippines,2013,4,
Vietnam,Poland,2013,17,
Vietnam,Slovakia,2013,1,
Vietnam,Spain,2013,4,
Vietnam,Sweden,2013,82,
Vietnam,Switzerland,2013,1255,
Vietnam,Thailand,2013,119,119
Vietnam,Ukraine,2013,2,
Vietnam,United Kingdom,2013,710,
Vietnam,United States,2013,263,
Vietnam,Yemen,2013,15,15
Vietnam,Australia,2012,88,
Vietnam,Austria,2012,37,
Vietnam,Belgium,2012,48,
Vietnam,Brazil,2012,4,
Vietnam,Burkina Faso,2012,5,
Vietnam,Cambodia,2012,33,
Vietnam,Canada,2012,148,
Vietnam,China,2012,300897,1
Vietnam,Côte d'Ivoire,2012,8,8
Vietnam,Cyprus,2012,1,
Vietnam,Czechia,2012,65,
Vietnam,Denmark,2012,16,
Vietnam,Ecuador,2012,3,3
Vietnam,Finland,2012,2,
Vietnam,France,2012,8605,
Vietnam,Gabon,2012,4,4
Vietnam,Germany,2012,23799,
Vietnam,Greece,2012,4,
Vietnam,"Hong Kong SAR, China",2012,7,7
Vietnam,Hungary,2012,2,
Vietnam,Ireland,2012,2,
Vietnam,Italy,2012,9,
Vietnam,Japan,2012,358,110
Vietnam,Lithuania,2012,1,
Vietnam,Malaysia,2012,9,9
Vietnam,Netherlands,2012,28,
Vietnam,New Zealand,2012,3,
Vietnam,Norway,2012,14,
Vietnam,Paraguay,2012,6,
Vietnam,Peru,2012,1,
Vietnam,Philippines,2012,4,
Vietnam,Poland,2012,17,
Vietnam,Slovakia,2012,1,
Vietnam,Spain,2012,5,
Vietnam,Sweden,2012,82,
Vietnam,Switzerland,2012,1340,
Vietnam,Thailand,2012,92,92
Vietnam,Ukraine,2012,1,
Vietnam,United Kingdom,2012,908,
Vietnam,United States,2012,265,
Vietnam,Yemen,2012,17,17
Vietnam,Australia,2011,58,
Vietnam,Austria,2011,37,
Vietnam,Belgium,2011,52,
Vietnam,Benin,2011,3,3
Vietnam,Brazil,2011,4,
Vietnam,Burkina Faso,2011,5,5
Vietnam,Cambodia,2011,31,31
Vietnam,Canada,2011,161,
Vietnam,China,2011,300897,1
Vietnam,Côte d'Ivoire,2011,8,8
Vietnam,Cyprus,2011,1,
Vietnam,Czechia,2011,62,
Vietnam,Denmark,2011,37,
Vietnam,Ecuador,2011,3,3
Vietnam,Finland,2011,2,
Vietnam,France,2011,8654,
Vietnam,Gabon,2011,4,4
Vietnam,Germany,2011,24261,
Vietnam,Greece,2011,4,
Vietnam,"Hong Kong SAR, China",2011,7,7
Vietnam,Hungary,2011,2,
Vietnam,Ireland,2011,2,
Vietnam,Italy,2011,9,
Vietnam,Japan,2011,493,
Vietnam,Lithuania,2011,1,
Vietnam,Malaysia,2011,5,5
Vietnam,Mexico,2011,1,
Vietnam,Netherlands,2011,34,
Vietnam,New Zealand,2011,7,
Vietnam,Norway,2011,14,
Vietnam,Papua New Guinea,2011,3,3
Vietnam,Paraguay,2011,6,
Vietnam,Peru,2011,1,
Vietnam,Philippines,2011,3,
Vietnam,Poland,2011,17,
Vietnam,Sierra Leone,2011,1,
Vietnam,Slovakia,2011,1,
Vietnam,Spain,2011,5,
Vietnam,Sweden,2011,97,
Vietnam,Switzerland,2011,1397,
Vietnam,Thailand,2011,81,81
Vietnam,United Kingdom,2011,1066,
Vietnam,United States,2011,270,
Vietnam,Yemen,2011,22,22
Vietnam,Australia,2010,52,
Vietnam,Austria,2010,42,
Vietnam,Belgium,2010,59,
Vietnam,Benin,2010,3,3
Vietnam,Brazil,2010,4,
Vietnam,Burkina Faso,2010,5,5
Vietnam,Cambodia,2010,101,101
Vietnam,Canada,2010,163,
Vietnam,China,2010,300897,1
Vietnam,Côte d'Ivoire,2010,6,6
Vietnam,Cyprus,2010,1,
Vietnam,Czechia,2010,62,
Vietnam,Denmark,2010,55,
Vietnam,Ecuador,2010,3,3
Vietnam,Finland,2010,2,
Vietnam,France,2010,8719,
Vietnam,Gabon,2010,4,4
Vietnam,Germany,2010,24918,
Vietnam,Greece,2010,4,
Vietnam,"Hong Kong SAR, China",2010,7,7
Vietnam,Hungary,2010,3,
Vietnam,Ireland,2010,3,
Vietnam,Italy,2010,9,
Vietnam,Japan,2010,584,
Vietnam,Lithuania,2010,1,
Vietnam,Malaysia,2010,4,4
Vietnam,Mexico,2010,1,
Vietnam,Netherlands,2010,44,
Vietnam,New Zealand,2010,12,
Vietnam,Norway,2010,16,
Vietnam,Papua New Guinea,2010,3,
Vietnam,Paraguay,2010,6,6
Vietnam,Peru,2010,1,
Vietnam,Philippines,2010,3,
Vietnam,Poland,2010,11,
Vietnam,Russian Federation,2010,4,4
Vietnam,Sierra Leone,2010,1,
Vietnam,Slovakia,2010,1,
Vietnam,Spain,2010,6,
Vietnam,Sweden,2010,103,
Vietnam,Switzerland,2010,1484,
Vietnam,Thailand,2010,21,21
Vietnam,United Kingdom,2010,987,
Vietnam,United States,2010,255,
Vietnam,Yemen,2010,28,28
Vietnam,Australia,2009,52,
Vietnam,Austria,2009,45,
Vietnam,Belgium,2009,64,
Vietnam,Benin,2009,3,3
Vietnam,Brazil,2009,4,
Vietnam,Burkina Faso,2009,5,5
Vietnam,Cambodia,2009,107,107
Vietnam,Canada,2009,171,
Vietnam,China,2009,300897,1
Vietnam,Côte d'Ivoire,2009,3,3
Vietnam,Cyprus,2009,1,
Vietnam,Czechia,2009,63,
Vietnam,Denmark,2009,69,
Vietnam,Ecuador,2009,4,4
Vietnam,Finland,2009,2,
Vietnam,France,2009,8771,
Vietnam,Gabon,2009,4,4
Vietnam,Germany,2009,25215,
Vietnam,Greece,2009,3,
Vietnam,"Hong Kong SAR, China",2009,7,7
Vietnam,Hungary,2009,3,3
Vietnam,Ireland,2009,4,
Vietnam,Italy,2009,15,
Vietnam,Japan,2009,709,4
Vietnam,Lithuania,2009,1,
Vietnam,Malaysia,2009,4,4
Vietnam,Mexico,2009,1,
Vietnam,Netherlands,2009,48,
Vietnam,New Zealand,2009,10,
Vietnam,Norway,2009,13,
Vietnam,Papua New Guinea,2009,3,
Vietnam,Paraguay,2009,6,6
Vietnam,Peru,2009,1,
Vietnam,Philippines,2009,3,
Vietnam,Poland,2009,9,
Vietnam,Russian Federation,2009,4,4
Vietnam,Sierra Leone,2009,1,1
Vietnam,Slovakia,2009,1,
Vietnam,Spain,2009,6,
Vietnam,Sweden,2009,111,
Vietnam,Switzerland,2009,1587,
Vietnam,Thailand,2009,38,38
Vietnam,United Kingdom,2009,934,
Vietnam,United States,2009,259,
Vietnam,Yemen,2009,28,28
Vietnam,Argentina,2008,1,1
Vietnam,Australia,2008,50,
Vietnam,Austria,2008,51,
Vietnam,Belgium,2008,71,
Vietnam,Benin,2008,3,3
Vietnam,Brazil,2008,4,
Vietnam,Burkina Faso,2008,5,5
Vietnam,Cambodia,2008,140,140
Vietnam,Canada,2008,171,
Vietnam,Chile,2008,1,1
Vietnam,China,2008,300897,1
Vietnam,Côte d'Ivoire,2008,1,1
Vietnam,Cyprus,2008,1,
Vietnam,Czechia,2008,57,57
Vietnam,Denmark,2008,88,
Vietnam,Ecuador,2008,4,4
Vietnam,Finland,2008,2,
Vietnam,France,2008,8583,
Vietnam,Gabon,2008,4,4
Vietnam,Germany,2008,14043,
Vietnam,Greece,2008,5,
Vietnam,"Hong Kong SAR, China",2008,7,7
Vietnam,Hungary,2008,2,2
Vietnam,Ireland,2008,8,
Vietnam,Italy,2008,14,
Vietnam,Japan,2008,867,4
Vietnam,Lithuania,2008,1,
Vietnam,Malaysia,2008,4,4
Vietnam,Mexico,2008,1,
Vietnam,Netherlands,2008,50,
Vietnam,New Zealand,2008,10,
Vietnam,Norway,2008,14,
Vietnam,Papua New Guinea,2008,2,
Vietnam,Paraguay,2008,6,6
Vietnam,Peru,2008,1,
Vietnam,Philippines,2008,4,
Vietnam,Poland,2008,5,
Vietnam,Russian Federation,2008,4,4
Vietnam,Sierra Leone,2008,1,1
Vietnam,Slovakia,2008,1,1
Vietnam,Spain,2008,6,
Vietnam,Sweden,2008,101,
Vietnam,Switzerland,2008,1706,
Vietnam,Thailand,2008,24,24
Vietnam,United Kingdom,2008,902,
Vietnam,United States,2008,231,
Vietnam,Yemen,2008,29,29
Vietnam,Argentina,2007,32,
Vietnam,Australia,2007,57,
Vietnam,Austria,2007,52,
Vietnam,Belgium,2007,80,
Vietnam,Benin,2007,3,3
Vietnam,Brazil,2007,4,
Vietnam,Burkina Faso,2007,5,5
Vietnam,Cambodia,2007,154,154
Vietnam,Canada,2007,169,
Vietnam,Chile,2007,1,1
Vietnam,China,2007,300897,1
Vietnam,Czechia,2007,58,58
Vietnam,Denmark,2007,114,
Vietnam,Ecuador,2007,4,4
Vietnam,Finland,2007,2,
Vietnam,France,2007,8668,
Vietnam,Gabon,2007,4,4
Vietnam,Germany,2007,13222,
Vietnam,Greece,2007,4,
Vietnam,"Hong Kong SAR, China",2007,7,5
Vietnam,Hungary,2007,2,2
Vietnam,Indonesia,2007,2,2
Vietnam,Ireland,2007,7,
Vietnam,Italy,2007,14,
Vietnam,Japan,2007,975,4
Vietnam,Malaysia,2007,2,2
Vietnam,Mexico,2007,1,
Vietnam,Netherlands,2007,53,
Vietnam,New Zealand,2007,10,
Vietnam,Norway,2007,11,
Vietnam,Papua New Guinea,2007,2,
Vietnam,Paraguay,2007,6,6
Vietnam,Peru,2007,1,
Vietnam,Philippines,2007,6,1
Vietnam,Poland,2007,4,
Vietnam,Russian Federation,2007,4,4
Vietnam,Sierra Leone,2007,1,1
Vietnam,Spain,2007,6,
Vietnam,Sweden,2007,92,
Vietnam,Switzerland,2007,1839,
Vietnam,Thailand,2007,32,32
Vietnam,United Kingdom,2007,889,
Vietnam,United States,2007,251,
Vietnam,Yemen,2007,29,29
Vietnam,Argentina,2006,32,3
Vietnam,Australia,2006,211,
Vietnam,Austria,2006,52,
Vietnam,Belgium,2006,88,
Vietnam,Brazil,2006,4,4
Vietnam,Burkina Faso,2006,3,3
Vietnam,Cambodia,2006,68,68
Vietnam,Canada,2006,205,
Vietnam,Chile,2006,1,1
Vietnam,China,2006,300897,8045
Vietnam,Côte d'Ivoire,2006,50,50
Vietnam,Czechia,2006,56,56
Vietnam,Denmark,2006,143,
Vietnam,Finland,2006,72,
Vietnam,France,2006,8750,
Vietnam,Gabon,2006,4,4
Vietnam,Germany,2006,11678,
Vietnam,Greece,2006,4,
Vietnam,"Hong Kong SAR, China",2006,1829,10
Vietnam,Hungary,2006,2,
Vietnam,Ireland,2006,2,
Vietnam,Italy,2006,9,
Vietnam,Japan,2006,1132,4
Vietnam,Malaysia,2006,1,1
Vietnam,Netherlands,2006,68,
Vietnam,New Zealand,2006,12,
Vietnam,Norway,2006,57,
Vietnam,Papua New Guinea,2006,2,
Vietnam,Paraguay,2006,6,6
Vietnam,Peru,2006,1,
Vietnam,Philippines,2006,3,1
Vietnam,Poland,2006,3,
Vietnam,Russian Federation,2006,3,3
Vietnam,Sierra Leone,2006,1,1
Vietnam,Spain,2006,6,
Vietnam,Sweden,2006,130,
Vietnam,Switzerland,2006,1944,
Vietnam,Thailand,2006,93,93
Vietnam,Timor-Leste,2006,2,2
Vietnam,United Kingdom,2006,871,
Vietnam,United States,2006,45757,
Vietnam,Yemen,2006,27,27
Somalia,Algeria,2016,1,1
Somalia,Angola,2016,288,16
Somalia,Argentina,2016,5,
Somalia,Australia,2016,89,
Somalia,Austria,2016,4163,
Somalia,Bangladesh,2016,3,3
Somalia,Belarus,2016,1,
Somalia,Belgium,2016,1280,
Somalia,Benin,2016,1,1
Somalia,Botswana,2016,300,300
Somalia,Brazil,2016,46,3
Somalia,Bulgaria,2016,49,49
Somalia,Burundi,2016,21,21
Somalia,Cambodia,2016,1,1
Somalia,Canada,2016,2775,
Somalia,Chad,2016,8,8
Somalia,Chile,2016,2,
Somalia,China,2016,102,102
Somalia,Colombia,2016,11,
Somalia,Costa Rica,2016,7,7
Somalia,Croatia,2016,21,21
Somalia,Cuba,2016,1,1
Somalia,Cyprus,2016,67,10
Somalia,Czechia,2016,22,
Somalia,Dem. Rep. of the Congo,2016,34,34
Somalia,Denmark,2016,1280,
Somalia,Djibouti,2016,13021,13021
Somalia,Egypt,2016,3384,3384
Somalia,Eritrea,2016,2244,2244
Somalia,Estonia,2016,4,
Somalia,Ethiopia,2016,242014,242014
Somalia,Finland,2016,3304,
Somalia,France,2016,2524,
Somalia,Gabon,2016,3,3
Somalia,Gambia,2016,2,2
Somalia,Germany,2016,7879,
Somalia,Ghana,2016,55,55
Somalia,Greece,2016,262,
Somalia,Guinea,2016,1,1
Somalia,"Hong Kong SAR, China",2016,27,
Somalia,Hungary,2016,644,
Somalia,Iceland,2016,7,
Somalia,India,2016,554,554
Somalia,Indonesia,2016,548,548
Somalia,Ireland,2016,480,4
Somalia,Italy,2016,14336,
Somalia,Japan,2016,5,2
Somalia,Jordan,2016,626,626
Somalia,Kenya,2016,324448,324448
Somalia,Kuwait,2016,421,318
Somalia,Latvia,2016,7,
Somalia,Lebanon,2016,19,19
Somalia,Liberia,2016,2,2
Somalia,Libya,2016,164,164
Somalia,Liechtenstein,2016,47,
Somalia,Lithuania,2016,22,
Somalia,Luxembourg,2016,44,
Somalia,Malawi,2016,52,52
Somalia,Malaysia,2016,729,729
Somalia,Malta,2016,1724,1000
Somalia,Mauritania,2016,5,5
Somalia,Mexico,2016,1,
Somalia,Mozambique,2016,145,1
Somalia,Namibia,2016,9,9
Somalia,Nauru,2016,60,
Somalia,Nepal,2016,17,17
Somalia,Netherlands,2016,16512,
Somalia,New Zealand,2016,18,
Somalia,Niger,2016,9,9
Somalia,Nigeria,2016,1,1
Somalia,Norway,2016,8379,
Somalia,Pakistan,2016,214,214
Somalia,Panama,2016,1,
Somalia,Papua New Guinea,2016,9,
Somalia,Peru,2016,2,
Somalia,Philippines,2016,17,9
Somalia,Poland,2016,46,
Somalia,Portugal,2016,51,
Somalia,Qatar,2016,8,8
Somalia,Rep. of Korea,2016,3,
Somalia,Romania,2016,31,3
Somalia,Rwanda,2016,3,3
Somalia,Saudi Arabia,2016,16,16
Somalia,Senegal,2016,1,1
Somalia,Serbia (and Kosovo: S/RES/1244 (1999)),2016,3,3
Somalia,Slovakia,2016,190,
Somalia,Slovenia,2016,48,
Somalia,South Africa,2016,28695,
Somalia,South Sudan,2016,4,4
